Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Info
,info,,,,,"2024-11-14 01:36:20,759 - root - INFO - Finetune stage..."
1.0,train,0.01,19.04,1.61,0.0,
1.0,val,,20.0,1.609,0.0,
2.0,train,0.01,20.12,1.609,0.0,
2.0,val,,20.0,1.603,0.0,
3.0,train,0.01,26.8,1.566,0.0,
3.0,val,,27.0,1.529,0.0,
4.0,train,0.01,30.72,1.503,0.0,
4.0,val,,31.8,1.471,0.0,
5.0,train,0.01,37.4,1.436,0.0,
5.0,val,,40.4,1.422,0.0,
6.0,train,0.01,39.92,1.399,0.0,
6.0,val,,37.4,1.431,0.0,
7.0,train,0.01,40.84,1.359,0.0,
7.0,val,,41.0,1.441,0.0,
8.0,train,0.01,43.44,1.325,0.0,
8.0,val,,39.0,1.453,0.0,
9.0,train,0.01,45.2,1.293,0.0,
9.0,val,,44.4,1.328,0.0,
10.0,train,0.01,46.48,1.274,0.0,
10.0,val,,46.4,1.289,0.0,
11.0,train,0.01,48.44,1.243,0.0,
11.0,val,,46.4,1.269,0.0,
12.0,train,0.01,48.12,1.24,0.0,
12.0,val,,48.2,1.271,0.0,
13.0,train,0.01,47.32,1.235,0.0,
13.0,val,,47.8,1.274,0.0,
14.0,train,0.01,48.44,1.226,0.0,
14.0,val,,48.0,1.23,0.0,
15.0,train,0.01,49.88,1.206,0.0,
15.0,val,,53.0,1.204,0.0,
16.0,train,0.01,50.68,1.191,0.0,
16.0,val,,47.8,1.233,0.0,
17.0,train,0.01,51.2,1.202,0.0,
17.0,val,,52.2,1.183,0.0,
18.0,train,0.01,50.8,1.185,0.0,
18.0,val,,49.4,1.193,0.0,
19.0,train,0.01,51.44,1.171,0.0,
19.0,val,,49.4,1.212,0.0,
20.0,train,0.01,52.92,1.168,0.0,
20.0,val,,51.0,1.227,0.0,
21.0,train,0.01,52.2,1.163,0.0,
21.0,val,,51.6,1.161,0.0,
22.0,train,0.01,52.48,1.165,0.0,
22.0,val,,51.2,1.222,0.0,
23.0,train,0.01,52.8,1.16,0.0,
23.0,val,,54.6,1.142,0.0,
24.0,train,0.01,54.12,1.125,0.0,
24.0,val,,49.8,1.188,0.0,
25.0,train,0.01,54.76,1.127,0.0,
25.0,val,,55.4,1.124,0.0,
26.0,train,0.01,54.88,1.111,0.0,
26.0,val,,52.6,1.173,0.0,
27.0,train,0.01,54.96,1.106,0.0,
27.0,val,,56.6,1.14,0.0,
28.0,train,0.01,56.28,1.093,0.0,
28.0,val,,53.8,1.124,0.0,
29.0,train,0.01,56.8,1.09,0.0,
29.0,val,,51.8,1.159,0.0,
30.0,train,0.01,56.08,1.088,0.0,
30.0,val,,54.4,1.141,0.0,
31.0,train,0.01,57.56,1.064,0.0,
31.0,val,,55.2,1.118,0.0,
32.0,train,0.01,58.56,1.05,0.0,
32.0,val,,50.8,1.3,0.0,
33.0,train,0.01,56.92,1.066,0.0,
33.0,val,,54.8,1.126,0.0,
34.0,train,0.01,58.48,1.061,0.0,
34.0,val,,53.2,1.135,0.0,
35.0,train,0.01,58.24,1.045,0.0,
35.0,val,,54.2,1.17,0.0,
36.0,train,0.01,58.92,1.033,0.0,
36.0,val,,54.2,1.113,0.0,
37.0,train,0.01,59.0,1.031,0.0,
37.0,val,,55.6,1.119,0.0,
38.0,train,0.01,59.08,1.024,0.0,
38.0,val,,53.4,1.134,0.0,
39.0,train,0.01,59.0,1.023,0.0,
39.0,val,,56.2,1.113,0.0,
40.0,train,0.01,61.52,1.003,0.0,
40.0,val,,54.8,1.202,0.0,
41.0,train,0.01,60.32,1.008,0.0,
41.0,val,,54.4,1.156,0.0,
42.0,train,0.01,61.96,0.978,0.0,
42.0,val,,58.0,1.076,0.0,
43.0,train,0.01,59.96,0.994,0.0,
43.0,val,,55.0,1.119,0.0,
44.0,train,0.01,61.6,0.981,0.0,
44.0,val,,55.2,1.13,0.0,
45.0,train,0.01,61.6,0.99,0.0,
45.0,val,,54.8,1.118,0.0,
46.0,train,0.01,61.92,0.976,0.0,
46.0,val,,55.0,1.09,0.0,
47.0,train,0.01,62.48,0.959,0.0,
47.0,val,,58.2,1.09,0.0,
48.0,train,0.01,63.48,0.939,0.0,
48.0,val,,56.0,1.172,0.0,
49.0,train,0.01,63.0,0.95,0.0,
49.0,val,,58.8,1.139,0.0,
50.0,train,0.01,61.64,0.964,0.0,
50.0,val,,56.4,1.118,0.0,
51.0,train,0.001,63.48,0.939,0.0,
51.0,val,,57.4,1.072,0.0,
52.0,train,0.001,66.48,0.878,0.0,
52.0,val,,58.2,1.066,0.0,
53.0,train,0.001,66.24,0.864,0.0,
53.0,val,,59.2,1.07,0.0,
54.0,train,0.001,67.68,0.856,0.0,
54.0,val,,58.0,1.076,0.0,
55.0,train,0.001,67.12,0.848,0.0,
55.0,val,,57.4,1.077,0.0,
56.0,train,0.001,67.88,0.854,0.0,
56.0,val,,59.4,1.067,0.0,
57.0,train,0.001,67.24,0.846,0.0,
57.0,val,,58.2,1.088,0.0,
58.0,train,0.001,66.88,0.861,0.0,
58.0,val,,58.8,1.063,0.0,
59.0,train,0.001,67.68,0.845,0.0,
59.0,val,,58.6,1.077,0.0,
60.0,train,0.001,67.28,0.848,0.0,
60.0,val,,58.0,1.076,0.0,
61.0,train,0.001,67.16,0.841,0.0,
61.0,val,,59.6,1.072,0.0,
62.0,train,0.001,67.72,0.83,0.0,
62.0,val,,57.6,1.068,0.0,
63.0,train,0.001,67.4,0.846,0.0,
63.0,val,,57.8,1.063,0.0,
64.0,train,0.001,67.4,0.836,0.0,
64.0,val,,58.4,1.052,0.0,
65.0,train,0.001,67.44,0.843,0.0,
65.0,val,,58.0,1.062,0.0,
66.0,train,0.001,67.4,0.839,0.0,
66.0,val,,58.0,1.072,0.0,
67.0,train,0.001,68.88,0.82,0.0,
67.0,val,,58.6,1.077,0.0,
68.0,train,0.001,69.08,0.832,0.0,
68.0,val,,58.6,1.074,0.0,
69.0,train,0.001,68.96,0.839,0.0,
69.0,val,,58.6,1.065,0.0,
70.0,train,0.001,69.04,0.813,0.0,
70.0,val,,58.8,1.068,0.0,
71.0,train,0.001,69.6,0.799,0.0,
71.0,val,,60.0,1.068,0.0,
72.0,train,0.001,68.0,0.83,0.0,
72.0,val,,59.0,1.067,0.0,
73.0,train,0.001,67.92,0.825,0.0,
73.0,val,,59.6,1.065,0.0,
74.0,train,0.001,69.08,0.819,0.0,
74.0,val,,59.4,1.074,0.0,
75.0,train,0.001,68.2,0.825,0.0,
75.0,val,,57.8,1.071,0.0,
76.0,train,0.001,68.12,0.824,0.0,
76.0,val,,59.0,1.075,0.0,
77.0,train,0.001,68.8,0.817,0.0,
77.0,val,,59.8,1.051,0.0,
78.0,train,0.001,69.0,0.809,0.0,
78.0,val,,59.6,1.075,0.0,
79.0,train,0.001,68.08,0.815,0.0,
79.0,val,,60.4,1.056,0.0,
80.0,train,0.001,71.0,0.784,0.0,
80.0,val,,59.4,1.072,0.0,
81.0,train,0.0001,68.76,0.824,0.0,
81.0,val,,58.0,1.067,0.0,
82.0,train,0.0001,69.48,0.806,0.0,
82.0,val,,59.4,1.066,0.0,
83.0,train,0.0001,69.36,0.801,0.0,
83.0,val,,59.4,1.068,0.0,
84.0,train,0.0001,70.52,0.785,0.0,
84.0,val,,59.0,1.055,0.0,
85.0,train,0.0001,70.44,0.789,0.0,
85.0,val,,60.0,1.061,0.0,
86.0,train,0.0001,69.92,0.795,0.0,
86.0,val,,59.6,1.072,0.0,
87.0,train,0.0001,70.48,0.787,0.0,
87.0,val,,59.2,1.063,0.0,
88.0,train,0.0001,69.04,0.796,0.0,
88.0,val,,59.0,1.057,0.0,
89.0,train,0.0001,69.0,0.787,0.0,
89.0,val,,58.8,1.061,0.0,
90.0,train,0.0001,70.76,0.784,0.0,
90.0,val,,59.8,1.054,0.0,
91.0,train,0.0001,67.96,0.814,0.0,
91.0,val,,59.8,1.063,0.0,
92.0,train,0.0001,70.4,0.778,0.0,
92.0,val,,60.4,1.06,0.0,
93.0,train,0.0001,70.0,0.787,0.0,
93.0,val,,59.8,1.058,0.0,
94.0,train,0.0001,69.84,0.784,0.0,
94.0,val,,59.0,1.07,0.0,
95.0,train,0.0001,70.84,0.773,0.0,
95.0,val,,60.0,1.067,0.0,
96.0,train,0.0001,70.24,0.787,0.0,
96.0,val,,60.4,1.066,0.0,
97.0,train,0.0001,70.88,0.79,0.0,
97.0,val,,58.6,1.083,0.0,
98.0,train,0.0001,70.4,0.783,0.0,
